ID_RICHIESTA,DURATA_PRATICA,RICHIESTA_DATA,ESITO_RICHIESTA,CON_PRESCRIZIONI,DEST_Residenziale,DEST_Ufficio,DEST_Commerciale,DEST_Albergo,DEST_Industriale e produttiva,"DEST_Sociali, ricreative, culturali e religiose",DEST_Sanitario,DEST_Istruzione,DEST_Sportivo,DEST_Opere_Urbane,DEST_Impianti,DEST_Altro,NUM_DESTINAZIONI,IN_SANATORIA,INTERVENTO_Realizzazione_opere_ex-novo,INTERVENTO_Ampliamento,INTERVENTO_Demolizione,INTERVENTO_Ricostruzione,INTERVENTO_Ristrutturazione,INTERVENTO_Installazione,INTERVENTO_Cambio_Uso,INTERVENTO_Variante_a_progetto,INTERVENTO_Altro,ENTITA_Altro,ENTITA_Grande,ENTITA_Medio,ENTITA_Piccolo,VINCOLATO_STORICO,VINCOLATO_IDROGEO,lat,lon
296832,63,19/12/2012,Positiv,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,44.5189125,11.3625498
16736,260,24/01/2013,Positiv,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,44.5033155,11.294672
75595,170,03/04/2013,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,44.5350118,11.4077783
85377,151,12/04/2013,Positiv,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,44.5223956,11.4225279
121473,401,20/05/2013,Negativ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,44.4941895,11.2532613
138598,96,06/06/2013,Positiv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,44.4611203,11.3418648
159845,176,26/06/2013,Positiv,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.4974871,11.4048773
168598,93,03/07/2013,Positiv,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,44.4816176,11.3898473
192131,118,30/07/2013,Positiv,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,44.4912187,11.3675496
271251,195,23/10/2013,Positiv,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.505594,11.3040045
319233,266,12/12/2013,Positiv,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,44.4864862,11.3805371
10526,174,15/01/2014,Positiv,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,44.5072264,11.3445073
13807,11,17/01/2014,Positiv,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,44.4443255,11.3304941
27062,132,30/01/2014,Positiv,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.511207,11.3300755
50064,195,19/02/2014,Positiv,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.5181547,11.3626635
77292,202,13/03/2014,Positiv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,44.5070941,11.2962059
82800,127,19/03/2014,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,44.4702581,11.3035768
89227,218,26/03/2014,Positiv,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,44.4652426,11.3597127
128884,105,06/05/2014,Positiv,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.5233466,11.374321
158614,104,29/05/2014,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.4929292,11.4045264
164576,218,04/06/2014,Positiv,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,44.4823651,11.3634463
48871,230,27/02/2008,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,44.4933787,11.3821271
